distance_km,duration_minutes,pace,average_cadence,average_heartrate,cluster
5.0,27.73,5.55,183.0,183.0,7
5.01,33.72,6.73,172.0,162.0,7
7.13,51.22,7.19,171.0,149.0,1
5.01,34.73,6.93,174.0,146.0,7
1.45,9.0,6.19,152.0,171.0,7
3.75,30.02,8.0,153.0,161.0,7
5.01,41.77,8.34,171.0,147.0,7
5.01,48.17,9.62,172.0,146.0,7
4.33,26.02,6.01,178.0,185.0,7
4.01,27.22,6.79,175.0,167.0,7
5.01,44.93,8.98,171.0,148.0,7
7.2,68.57,9.52,170.0,150.0,1
6.23,65.47,10.5,169.0,149.0,1
5.01,41.08,8.2,178.0,166.0,7
5.14,37.3,7.25,173.0,166.0,7
5.29,33.07,6.25,171.0,179.0,7
5.0,40.5,8.1,168.0,166.0,7
5.14,30.22,5.88,175.0,186.0,7
5.43,33.33,6.14,175.0,180.0,7
6.9,44.48,6.44,175.0,168.0,7
5.04,31.35,6.22,172.0,167.0,7
5.01,26.03,5.2,181.0,158.0,7
5.28,35.28,6.69,170.0,156.0,7
10.01,57.83,5.78,176.0,173.0,1
5.3,29.65,5.6,167.0,162.0,7
5.01,24.68,4.93,176.0,163.0,7
6.27,35.45,5.65,171.0,166.0,7
4.77,32.12,6.73,169.0,160.0,7
7.48,46.38,6.2,171.0,178.0,7
6.79,38.58,5.69,171.0,176.0,7
5.02,30.77,6.13,170.0,178.0,7
5.05,25.97,5.15,177.0,168.0,7
6.43,37.52,5.84,173.0,153.0,7
5.94,36.78,6.19,170.0,148.0,7
7.09,43.92,6.19,172.0,152.0,7
6.03,32.65,5.42,178.0,170.0,7
6.36,36.73,5.77,174.0,174.0,7
6.57,41.55,6.33,170.0,150.0,7
5.01,23.55,4.7,184.0,162.0,7
5.11,31.6,6.18,172.0,152.0,7
6.5,35.65,5.49,172.0,148.0,7
5.1,27.83,5.46,172.0,154.0,7
7.98,52.02,6.52,163.0,146.0,1
8.02,51.1,6.37,168.0,152.0,1
7.01,44.85,6.4,174.0,154.0,7
4.97,26.28,5.29,174.0,148.0,7
2.52,11.53,4.58,183.0,148.0,7
10.14,62.12,6.13,170.0,150.0,1
8.03,49.68,6.19,172.0,140.0,1
3.1,13.1,4.23,190.0,128.0,7
7.95,50.82,6.39,174.0,156.0,7
5.72,32.53,5.68,174.0,157.0,7
15.0,80.12,5.34,176.0,182.0,1
7.73,42.03,5.44,173.0,164.0,7
7.12,43.8,6.15,172.0,147.0,7
10.21,61.53,6.03,178.0,152.0,1
5.38,28.6,5.31,175.0,151.0,7
9.76,60.27,6.18,175.0,156.0,1
9.99,46.87,4.69,181.0,166.0,7
7.15,41.2,5.76,177.0,151.0,7
5.39,33.07,6.13,170.0,162.0,7
7.56,45.88,6.07,172.0,155.0,7
6.51,36.62,5.63,171.0,145.0,7
8.38,51.25,6.12,157.0,145.0,1
5.49,32.42,5.9,173.0,155.0,7
7.4,42.65,5.77,172.0,154.0,7
7.01,42.7,6.09,170.0,152.0,7
9.3,54.68,5.88,170.0,151.0,1
3.85,19.72,5.12,181.0,142.0,7
9.86,55.37,5.62,174.0,165.0,1
5.69,31.02,5.45,172.0,153.0,7
8.24,46.85,5.69,175.0,150.0,7
10.94,63.72,5.83,172.0,152.0,1
7.82,36.22,4.63,179.0,157.0,7
4.86,26.88,5.53,169.0,159.0,7
8.79,53.87,6.13,173.0,157.0,1
6.79,34.67,5.11,174.0,163.0,7
5.33,28.43,5.33,172.0,181.0,7
8.66,49.95,5.77,171.0,166.0,7
7.27,44.3,6.1,170.0,162.0,7
12.0,66.12,5.51,172.0,172.0,1
3.68,21.78,5.92,169.0,157.0,7
5.36,27.57,5.15,168.0,173.0,7
5.15,28.87,5.6,147.0,151.0,7
4.55,24.88,5.46,169.0,175.0,7
4.96,28.43,5.73,166.0,174.0,7
4.12,23.65,5.74,165.0,169.0,7
21.29,109.3,5.13,169.0,187.0,5
4.2,23.45,5.59,145.0,157.0,7
3.54,17.73,5.01,150.0,175.0,7
5.68,33.62,5.92,148.0,161.0,7
6.25,36.02,5.76,168.0,171.0,7
5.41,31.8,5.88,157.0,163.0,7
5.04,24.55,4.87,170.0,185.0,7
5.26,31.42,5.97,165.0,165.0,7
5.0,25.3,5.06,172.0,170.0,7
5.27,27.93,5.3,172.0,184.0,7
3.1,14.13,4.56,174.0,190.0,7
5.01,33.43,6.67,168.0,158.0,7
7.62,40.3,5.29,170.0,180.0,7
6.01,28.82,4.8,176.0,185.0,7
5.08,25.58,5.03,172.0,184.0,7
5.26,29.57,5.62,162.0,172.0,7
2.2,9.78,4.45,174.0,181.0,7
7.45,37.93,5.09,174.0,182.0,7
5.0,36.0,7.12,159.0,136.0,7
5.0,34.2,6.5,164.0,133.0,7
5.0,35.2,7.02,160.0,135.0,7
